,0,S1,S2,S4,S5,S8,S11,S12,S13,S14,S15
1002,MER50,336,281,426,293,462,158,281,299,335,341
1003,MER52-int,9,23,75,117,44,16,23,6,51,0
1004,UCON76,0,12,12,0,4,0,0,0,28,0
1005,Penelope1_Vert,432,258,463,302,439,235,348,285,306,204
1006,MER87B,48,70,97,52,50,23,24,0,64,24
1007,MamRep434,715,697,1121,605,565,707,707,624,682,734
1008,HERVFH19-int,62,39,109,67,91,16,19,65,67,29
1009,L2-3_Crp,676,568,848,538,447,554,590,439,750,331
1010,HERVK14C-int,29,36,30,12,8,0,0,36,4,0
1011,HAL1ME,1533,1078,2785,1708,1814,1403,1532,1854,1871,1196
1012,LTR28,20,32,48,4,16,8,24,36,14,0
1013,MLT1A1-int,56,96,202,210,128,36,215,124,182,183
1014,FLAM_C,4099,3091,4544,2798,4334,2552,3877,3420,4065,2816
1015,LTR81AB,40,12,32,16,12,16,0,4,17,40
1016,FLAM_A,2418,2074,2826,1670,2227,1619,2269,1935,2043,1786
1017,L1M6B,304,150,525,164,301,168,283,208,298,305
1018,MER121,40,38,84,87,73,39,28,70,70,20
1019,LTR37B,281,165,528,256,247,270,283,218,369,269
1020,LTR23,55,124,293,163,112,118,144,182,132,99
1021,LTR22,21,12,38,30,36,44,15,33,4,118
1022,LTR25,76,50,40,48,34,44,88,78,70,58
1023,LTR12,116,147,252,126,146,100,158,132,213,201
1024,LTR27,8,16,25,8,16,23,36,24,43,43
1025,LTR26,68,172,108,112,152,32,141,116,82,53
1026,LTR7A,5,12,5,7,20,13,20,36,5,6
1027,tRNA-Thr-ACG_,0,0,0,0,0,0,0,0,0,0
1028,LTR6A,201,166,169,147,215,31,107,35,164,154
1029,LTR37A,119,84,195,168,216,148,182,169,314,236
1030,L1ME3Cz,2961,2528,5167,2901,3256,2332,3483,3332,3412,2693
1031,MER92D,39,64,104,27,75,4,32,12,20,4
1032,MER4E1,172,255,316,134,149,200,112,209,230,141
1033,MLT1O,789,636,1143,559,705,720,919,568,918,870
1034,U8,32,8,32,0,0,0,0,0,0,0
1035,U5,0,23,39,44,12,28,3,40,8,24
1036,MER125,0,0,12,3,0,0,8,36,4,0
1037,U7,67,48,51,20,39,111,28,60,52,8
1038,HAL1b,1111,846,1561,754,1041,796,976,915,1350,1055
1039,U1,271,131,267,222,234,142,131,84,285,216
1040,U3,7125,3786,6353,6818,6632,2788,5171,3990,10712,5549
1041,LTR24,59,63,111,83,195,113,213,108,191,31
1042,MLT2B1,489,303,719,274,311,228,423,343,552,256
1043,MER1A,1526,802,1767,1165,1141,797,1056,1292,1109,934
1044,MER57A1,193,199,276,151,212,106,270,139,232,173
1045,MER127,36,20,55,4,60,8,16,44,55,0
1046,MLT1A0-int,254,246,362,181,255,105,194,134,246,133
1047,LTR86A1,76,89,180,118,161,113,253,151,165,88
1048,LTR86A2,47,36,77,56,55,130,46,59,53,4
1049,MER126,80,76,130,51,13,51,38,71,74,72
1050,tRNA-Arg-CGA_,0,0,0,0,0,0,0,0,0,0
1051,MER9a1,63,50,107,94,48,15,60,30,41,29
1052,Charlie16a,685,391,832,351,575,576,663,531,731,288
1053,MER9a3,362,154,269,146,117,263,219,186,229,201
1054,MER63A,577,425,783,419,501,455,500,448,721,474
1055,MER63C,138,108,233,119,188,36,104,167,148,85
1056,MER51C,91,64,46,60,40,17,48,42,79,84
1057,MER63D,421,240,410,311,313,179,214,166,373,406
1058,MLT2C1,316,315,440,253,293,218,172,175,345,309
1059,UCON97,0,4,0,0,16,0,0,0,16,4
1060,MLT2B5,46,12,28,35,56,26,36,0,44,0
1061,MLT-int,146,81,167,101,144,128,122,203,288,212
1062,MLT2B4,731,417,851,398,587,569,534,412,872,408
1063,AluSq4,501,342,391,293,384,277,433,289,293,224
1064,AluSq2,7845,6418,8123,5555,7640,5225,7785,7044,8188,5375
1065,MLT1F1-int,87,60,135,161,131,62,91,71,78,123
1066,MER94B,123,48,107,91,27,63,53,64,104,19
1067,Tigger20a,521,480,620,529,370,169,286,330,431,185
1068,U2,708,352,412,638,556,170,390,231,706,472
1069,Charlie7a,268,291,619,262,379,360,391,313,409,202
1070,MER45A,262,378,722,303,435,414,417,453,374,162
1071,UCON15,0,0,0,0,0,0,0,0,0,0
1072,MLT1E1A-int,4,8,56,4,78,59,36,32,44,20
1073,MERX,87,31,156,54,94,24,96,64,155,44
