,0,S3,S6,S7,S9,S10,S16,S17,S18,S19,S20
46,RNA,46793.5722222,47929.580409400005,47096.3350434,131294.107937,50515.4440476,26874.7484848,52595.0666667,27319.0833333,74193.9206349,57038.838888900005
47,SINE?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,ERV1?,160.033707865,113.0,102.003389072,43.0,60.0014705882,60.0046875913,44.0,32.0016863406,163.0,107.00936504100001
49,tRNA-RTE,3637.0,3984.0,3271.00233311,2135.0,2694.00147059,2641.0,5077.0,2469.00168634,3571.0,3718.00449983
50,Penelope,337.0,273.0,368.0,396.0,318.0,301.0,438.0,237.0,388.0,464.0
51,Helitron,471.00833333300005,275.0,292.004445038,273.0,403.00483759199994,310.026725088,392.00319488800005,249.00168634099998,325.0,177.00449982799998
52,ERV1,76355.55521880001,56677.13452030001,57640.3835987,49549.8209501,48104.352641900005,44885.0586661,75768.5105752,44356.0002351,54121.779256400005,50783.2960951
53,hAT-Tag1,35.0,64.0,8.0,12.0,12.0,31.0046875913,52.0,20.0,16.0,108.0
54,TcMar?,8.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
55,Alu,208953.806253,170165.450573,171181.103249,133409.78311800002,135576.422833,146019.253672,229074.058762,126570.67438499999,141932.296421,151848.204478
56,hAT,1396.50301205,806.0,811.0046662110001,739.0,836.004837592,697.012544755,1229.0,705.0016863410001,896.0,1186.00899966
57,LTR?,2167.07826837,1502.00595238,1452.03030724,1217.02272727,1201.00630818,983.0109599689999,1775.0,1065.00337268,1067.00436681,1463.00936504
